"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"LOC105382270",13030.9310697398,-1.14961314177389,0.277517565691138,-4.14248784184475,3.43558586663633e-05,0.000384058081232687,"Down"
"LOC105383718",905.674561981672,1.07046828342128,0.247909884410896,4.31797338764855,1.57468411142634e-05,0.000197744252336208,"Up"
"LOC105393570",129.078455976248,1.11540782941286,0.302742192164371,3.68434879009947,0.000229288091954158,0.00185895516190137,"Up"
"LOC119692563",2226.13085835485,-2.34746938865874,0.437247206245625,-5.36874645538625,7.92857896584921e-08,2.10439545624299e-06,"Down"
"LOC105398623",295.541540003931,1.17136367899558,0.260237789964759,4.50112829176039,6.75936902143164e-06,9.62450416208443e-05,"Up"
"LOC119694269",702.430566171687,-1.1573595914499,0.220143024071012,-5.25730759052609,1.46179704929356e-07,3.5313548039968e-06,"Down"
"LOC105398274",750.519571425421,1.60655742303105,0.261795043208712,6.13669916488925,8.42537180355021e-10,3.91162294188929e-08,"Up"
"LOC105391665",783.275843011911,2.97503081894082,0.225962064797638,13.1660631690772,1.3758711988405e-39,6.53676406569119e-36,"Up"
"LOC105381750",89.5145550468147,2.22983765695101,0.589360048986364,3.78348966949166,0.000154644746064322,0.0013326188425966,"Up"
"LOC125489471",25.3872756303336,-2.66634960691207,0.521567444219406,-5.1121856558793,3.18452619203674e-07,6.82181404536664e-06,"Down"
"LOC105380089",155.423304949702,-1.31933370269474,0.216974068394725,-6.08060544956264,1.19729580034615e-09,5.33283032572925e-08,"Down"
"LOC119693496",2171.80200301564,1.49497114783321,0.367897003157303,4.06355891731469,4.83301159100059e-05,0.000508375750601707,"Up"
"LOC119693678",145.992392836115,-1.48742945477374,0.261873148883303,-5.6799616956398,1.34724909882047e-08,4.70645622683533e-07,"Down"
"LOC105387106",55.9909040917781,2.48705943701147,0.528780177216205,4.70339007431168,2.55876887565509e-06,4.20162820100368e-05,"Up"
"LOC105381140",561.529216717521,1.11312498826647,0.215842369859458,5.15711993428936,2.50777184978459e-07,5.56748787772271e-06,"Up"
"LOC105384964",2555.81365350707,1.44611721617663,0.222450040567585,6.50086290156134,7.98605884448391e-11,5.08148646028702e-09,"Up"
"LOC105386950",2086.380644219,1.39940151789391,0.323815780510337,4.32159765558194,1.54903464882639e-05,0.000195038788425111,"Up"
"LOC105381398",5118.4441815402,1.24137925376898,0.287274739987409,4.32122662028478,1.55164210395835e-05,0.000195194659379686,"Up"
"LOC105380349",170.688327134755,2.06399007744866,0.296617877729611,6.95841428455685,3.44124009749281e-12,2.97260576421606e-10,"Up"
"LOC105387322",48004.9125750991,1.21761534845314,0.22510407663591,5.40912171227598,6.33345778783425e-08,1.72272469179392e-06,"Up"
"LOC105386157",13250.9063853146,1.91398199113239,0.308746532452957,6.19920157783155,5.67503102177018e-10,2.74190566621323e-08,"Up"
"LOC105386159",7689.31461774799,1.79554164472573,0.294737818171703,6.0919961200219,1.11511387863464e-09,4.99802456357849e-08,"Up"
"LOC105394550",303.618138263755,1.44436362947836,0.22647199390269,6.37766994756522,1.79802480099264e-10,1.03103855505845e-08,"Up"
"LOC105394980",4090.66839806414,1.87358509381537,0.259002127415371,7.23385986251236,4.69456206694371e-13,4.97096647646096e-11,"Up"
"LOC105383460",238.394344236699,3.26405271187464,0.333644724940892,9.78301908550448,1.3317750249804e-22,9.03894734811696e-20,"Up"
"LOC125491425",25.7129889514055,4.17265641992449,0.740660815707102,5.63369403569823,1.76389849010245e-08,5.83314273304647e-07,"Up"
"LOC119692402",274.350381651014,1.16469273393253,0.207324673687238,5.61772370465435,1.93489576466e-08,6.22529781799073e-07,"Up"
"LOC105390212",6415.58449197246,-1.07925769313122,0.157481847694248,-6.85321964996633,7.22060852490044e-12,5.81442561047492e-10,"Down"
"LOC119692424",3326.8994695635,1.06635768943605,0.159921167189664,6.66802092665674,2.59275821799325e-11,1.88543790209479e-09,"Up"
"LOC105391629",665.38274887324,1.3897622134248,0.349916845426297,3.97169279384557,7.13637118523694e-05,0.00069572297197799,"Up"
"LOC125491456",2856.11354929453,11.7696137141255,0.946227279997805,12.4384637421918,1.61581739904393e-35,4.60604907771463e-32,"Up"
"LOC105391673",2813.52186327262,1.82772526137539,0.259511169221844,7.0429541312457,1.88206199829878e-12,1.81250200417247e-10,"Up"
"LOC105388372",94.3743288115401,5.8558659015262,0.796524062265934,7.35177526824182,1.95591463603156e-13,2.285053385849e-11,"Up"
"LOC105396817",9764.24467664924,1.67016059685712,0.268850225000815,6.21223432806148,5.22364503718414e-10,2.60323820681767e-08,"Up"
"LOC105396806",2008.86027987862,1.59542817023219,0.248437692161336,6.42184427150497,1.34633118383303e-10,8.06271359797151e-09,"Up"
"LOC105396775",2391.81039020609,2.75865254754096,0.608297514956349,4.53503833192369,5.75930246487323e-06,8.44519938599158e-05,"Up"
"LOC105396722",2776.43218826877,1.21290779461277,0.232375904429073,5.21959364759777,1.79316127228945e-07,4.17398252666095e-06,"Up"
"LOC105389299",123.814128310661,-1.2567304759492,0.341345063532129,-3.68170104159396,0.000231682990788213,0.00187092219133394,"Down"
"LOC105385481",489.733337594568,1.42928964672548,0.1618461569587,8.83116209605278,1.03593731553098e-18,3.14153501239641e-16,"Up"
"LOC105386363",735.998881321133,1.04669019275787,0.209679765572414,4.9918512160697,5.98033162980601e-07,1.19213519887587e-05,"Up"
"LOC105393958",535.797268537166,1.55554400153512,0.31513506521959,4.93611842417854,7.96927278601873e-07,1.53287510147267e-05,"Up"
"LOC105390550",956.590126984844,1.00680904326254,0.187361084332792,5.37362946445295,7.71673528441405e-08,2.05198932852152e-06,"Up"
"LOC125491410",3.02034282788008,-5.24867535609334,1.61495261050942,-3.25004914815283,0.00115385065278178,0.00679579890665239,"Down"
"LOC105388727",202.886755747795,1.63397926594855,0.360242780172939,4.53577241760164,5.73930432709165e-06,8.42454218064235e-05,"Up"
"LOC105387476",378.746783967861,1.13152375465491,0.193313945567905,5.85329605337473,4.81925134984394e-09,1.88188464354317e-07,"Up"
"LOC105390653",338.664065384514,-1.11276239443477,0.283924848388325,-3.91921454128186,8.88380105121932e-05,0.000840775673194084,"Down"
"LOC105389540",269.327270347595,1.95925727873798,0.18968836442624,10.3288216157288,5.21978639325171e-25,6.19980128858472e-22,"Up"
"LOC105384022",4455.79868284618,1.72847782288003,0.355352098362922,4.86412724405733,1.14962941171294e-06,2.12800883183695e-05,"Up"
"LOC105384544",298.137813856686,2.11358783700829,0.235334703957707,8.98119912390028,2.67831629706125e-19,9.31074199561316e-17,"Up"
"LOC119694105",32.4676560219468,1.62547749066214,0.481833021517812,3.37352862521079,0.00074211329949447,0.00478829373367799,"Up"
"LOC119694161",1680.0303561112,1.23899204851537,0.150987762058417,8.2059104103815,2.28850025292638e-16,4.79676383896465e-14,"Up"
"LOC119694142",860.800786849471,1.58629441441309,0.226761927377523,6.99541776151937,2.64469679954069e-12,2.44771840804243e-10,"Up"
"LOC125491495",36.9176119501321,2.94262537323906,0.645894696592502,4.55589028484557,5.21641606416409e-06,7.77715252746137e-05,"Up"
"LOC105383074",24.3242723842889,-3.76398473842021,0.677672417184315,-5.55428351954965,2.78752730078587e-08,8.39956060755444e-07,"Down"
"LOC119694174",590.570157748334,-1.24198929349025,0.223844606897882,-5.54844412247483,2.8822296843262e-08,8.62865127023229e-07,"Down"
"LOC105387852",7707.71139408336,1.60326668716914,0.209356814920519,7.6580582665905,1.88765248367398e-14,2.7634519633416e-12,"Up"
"LOC105393565",43.827105237826,3.10488703705982,0.480667042921492,6.459538016562,1.05023101260984e-10,6.53665616713018e-09,"Up"
"LOC105393544",1719.66646194082,1.18971470528758,0.205020713087297,5.80290004542615,6.51776492178587e-09,2.49055505174837e-07,"Up"
"LOC105380014",230.08022418451,1.73907797939491,0.327410733922255,5.31160954487173,1.08661221551187e-07,2.75088524115287e-06,"Up"
"LOC105398334",166.866131984833,-1.04289336349667,0.216376078546513,-4.81981820958313,1.43689094302254e-06,2.57610146049059e-05,"Down"
"LOC105393155",183.08323635312,2.06590364850148,0.28373219569706,7.2811745717685,3.30926115176684e-13,3.65634877489401e-11,"Up"
"LOC105393152",688.267657755874,1.4676579290173,0.311764398481759,4.70758667816002,2.50666705568303e-06,4.12797904242274e-05,"Up"
"LOC105393177",1602.67868584157,1.72038719160534,0.338193450209291,5.08699145575019,3.6378821670111e-07,7.64583682166867e-06,"Up"
"LOC105393144",2970.81466979479,1.25603915944963,0.244201159503812,5.14346107938943,2.69722553336238e-07,5.9235062445322e-06,"Up"
"LOC119690826",2405.84077027488,2.29825517678603,0.213601280267271,10.7595571239569,5.34263028220112e-27,1.08783584874589e-23,"Up"
"LOC119690800",45.3710588663315,-2.22369438899129,0.45548482937095,-4.88203831522192,1.04994848293935e-06,1.96648038466945e-05,"Down"
"LOC125488767",119.490051591103,3.35908861169596,0.628998534342961,5.34037589643161,9.27540558622377e-08,2.41245174854831e-06,"Up"
"LOC125488816",23.8063548349255,2.48996941685599,0.56309281734732,4.42195201243378,9.78131836487357e-06,0.000131683580117821,"Up"
"LOC105382967",299.002994269671,1.62067544414322,0.299389459166769,5.41326821810536,6.1884684530152e-08,1.69623540116972e-06,"Up"
"LOC105394699",1013.45651971267,-2.11416828750852,0.411982207028485,-5.1316980477323,2.87139878802508e-07,6.24857033742429e-06,"Down"
"LOC105394086",265.543317157425,1.46538056888665,0.195485138640274,7.49612261617085,6.57333040265548e-14,8.16536500366357e-12,"Up"
"LOC105393734",363.221450594165,-1.53745301224965,0.223058287254885,-6.89260655217365,5.4779231504199e-12,4.53935108505435e-10,"Down"
"LOC119693029",7377.90921940555,3.7700396056806,0.281303664204701,13.4020280764533,5.88331921714869e-41,4.19274744010102e-37,"Up"
"LOC119693079",2112.01819847673,1.08896691709562,0.219312768262844,4.96536031951637,6.85736334417656e-07,1.34274028882119e-05,"Up"
"LOC105392058",901.54877113767,1.18992648929213,0.216815803054916,5.48819077081174,4.06071380540281e-08,1.16923947208902e-06,"Up"
"LOC105395214",1127.62426982354,1.13710574502485,0.280672386824239,4.05136307811043,5.09201207007867e-05,0.000528597582191051,"Up"
"LOC119693069",913.534739727268,1.69329127275707,0.2999683023411,5.64490067631077,1.65276637209482e-08,5.49111400966606e-07,"Up"
"LOC105383038",5077.1199702337,1.34120830049179,0.253074094047712,5.29966650888781,1.16014391195106e-07,2.89082712885287e-06,"Up"
"LOC105384475",17393.140989509,1.89071088772668,0.226361704119732,8.35260935624785,6.6771196768567e-17,1.48701541803498e-14,"Up"
"LOC105380335",1470.12015142449,1.94368943793344,0.19915006083032,9.75992389773612,1.67280701339605e-22,1.08375083463336e-19,"Up"
"LOC105383154",102.341083768637,-1.08461971772643,0.251612814510478,-4.31066962879692,1.62760919255275e-05,0.00020349398088995,"Down"
"LOC105392958",1979.38107298486,2.88083851193927,0.438545606459767,6.56907393325709,5.06291431001081e-11,3.46931334906654e-09,"Up"
"LOC105392970",335.423604721146,2.33887468269623,0.377463574363103,6.1962924148181,5.78086845524226e-10,2.77423293240969e-08,"Up"
"LOC105393533",745.134563020088,1.38119823179905,0.222647523374876,6.20351940530461,5.52142284137313e-10,2.69509725198942e-08,"Up"
"LOC119691146",404.847428159365,3.8627423068065,0.425650547198686,9.07491446264591,1.13766825432501e-19,4.26715411286693e-17,"Up"
"LOC105383066",2030.9059586181,1.99901500354035,0.220742267486508,9.0558778176116,1.35473678840007e-19,4.95104190899135e-17,"Up"
"LOC119694378",27.0652633366571,3.59702932680446,0.686090520058798,5.24279117935661,1.58165509104982e-07,3.76978762754734e-06,"Up"
"LOC105382150",76.534717235489,-3.8381313179593,0.473502394482311,-8.10583296448922,5.23853729118885e-16,1.08209959436688e-13,"Down"
"LOC105393123",17.4969893243348,-1.89654341857329,0.510647444318768,-3.71399767035626,0.000204010672018749,0.00168468372438194,"Down"
"LOC105393129",936.308392242329,1.16917395503182,0.212500428319199,5.50198399259501,3.75541058406548e-08,1.08792412712775e-06,"Up"
"LOC105391885",10190.4943788296,1.58438939928805,0.253728502024409,6.24442814522916,4.25353409484812e-10,2.18077775013922e-08,"Up"
"LOC105383334",39.7612261718664,2.96218433530091,0.42710816407245,6.93544301999911,4.04950094864967e-12,3.45613994138346e-10,"Up"
"LOC105398573",1116.9884480486,2.25988679285054,0.432668702859461,5.22313441650665,1.75919592698341e-07,4.11721174832422e-06,"Up"
"LOC105386601",1791.61930797883,1.42526738212329,0.170018747663505,8.38300129668127,5.1594907373262e-17,1.20554461441164e-14,"Up"
"Pxapn-a",76721.6496509251,1.09516699340112,0.21734631413449,5.03881097667682,4.68432827335404e-07,9.60657998275038e-06,"Up"
"LOC105380386",3143.90694279779,1.90374425503264,0.218780176739272,8.70163048319225,3.2714933853027e-18,9.14286180798418e-16,"Up"
"LOC105386930",708.959984411232,1.01135376894618,0.208215554489391,4.85724407778435,1.190308334227e-06,2.18909221777257e-05,"Up"
"LOC105382956",1659.00635684565,1.48458125359403,0.271079809466112,5.47654676502058,4.33706193279776e-08,1.23632287456333e-06,"Up"
"LOC105392161",176.591149261264,-1.75203724102784,0.240769493247136,-7.27682405855911,3.41770517812987e-13,3.74711937722193e-11,"Down"
"LOC105394192",246.312233828918,1.71030556688048,0.227414590316774,7.52065012406698,5.45045283665109e-14,7.06230038916255e-12,"Up"
"LOC105388816",2013.62508804152,3.19788344217714,0.336302043817507,9.50896225867857,1.92573954279483e-21,9.46467782877747e-19,"Up"
"LOC105382419",25857.4752857716,-1.6733534698671,0.305495966300927,-5.47749775595652,4.31382475899269e-08,1.2321632122229e-06,"Down"
"LOC105389675",84.808825480728,1.49454471060138,0.400274987951713,3.73379490497086,0.000188616107020471,0.00157581792108017,"Up"
"LOC105381535",2278.63154192763,1.08578017210455,0.242978051269252,4.46863478586944,7.87204028452711e-06,0.000109463600171088,"Up"
"LOC105385639",5417.28800054492,1.19095744758639,0.226344405005654,5.26170482348191,1.42725772610585e-07,3.47738536242508e-06,"Up"
"LOC105391178",1045.44953385156,-1.10950614179117,0.16769720036934,-6.61612799347616,3.68729144536794e-11,2.62774824854146e-09,"Down"
"LOC125489129",78.6041984146744,-1.14132676985308,0.267851761540583,-4.26103887944806,2.03478827554372e-05,0.000243304004121851,"Down"
"LOC105397679",141.148976526444,-1.61646277616074,0.285742137992725,-5.65706824872255,1.5398054518552e-08,5.2289596682364e-07,"Down"
"LOC105390045",4920.07364220245,1.04106139055957,0.140113726659299,7.43011705834517,1.08501615058823e-13,1.28872793286117e-11,"Up"
"LOC105398815",230.551291086806,1.23301140565513,0.232242193585328,5.30916189956718,1.10130474682829e-07,2.76841209110116e-06,"Up"
"LOC105392933",864.086696372482,1.16647083305578,0.204462847610564,5.70505031445874,1.16308727149117e-08,4.10333734667418e-07,"Up"
"LOC105390031",230.862696885579,-1.48335472892819,0.296077656575643,-5.01001914863919,5.44246199431137e-07,1.09564139554972e-05,"Down"
"LOC105387843",305.843129435953,1.52438547300904,0.287782119376576,5.29701246314861,1.1771266387911e-07,2.92802547690917e-06,"Up"
"LOC119693987",390.550626354937,2.28953916437503,0.273202580234719,8.38037167294684,5.27608286846631e-17,1.20917960196743e-14,"Up"
"LOC105381582",502.844831029974,1.05599753827031,0.183104641159682,5.76718062186856,8.06086474419824e-09,2.96877274416169e-07,"Up"
"LOC105382860",2935.56811857831,1.35376714355883,0.214666679619421,6.30636830065521,2.85658828414469e-10,1.54809706516785e-08,"Up"
"LOC105384189",9788.70905146907,-1.06413955523447,0.172682234313289,-6.16241479308091,7.16438839330409e-10,3.35901407137379e-08,"Down"
"LOC125489233",174.092849192596,1.84128490219695,0.323927119366466,5.68425671119516,1.31382804296317e-08,4.61231307791971e-07,"Up"
"LOC105390077",1635.09262259302,1.31969840810545,0.18371636160723,7.1833471801867,6.8025065007714e-13,6.92543751110677e-11,"Up"
"LOC119691468",6.10858893769786,5.39721242361227,1.51362336971472,3.56575653600639,0.000362808068656465,0.00266551721781474,"Up"
"LOC105391710",2773.64671217782,1.64640479486167,0.189516884912089,8.68737788522316,3.70900764678368e-18,1.01662473056938e-15,"Up"
"LOC105383934",32.3455754387998,5.62062090915125,0.850923454340669,6.60531905717224,3.96662119925836e-11,2.77138489965831e-09,"Up"
"LOC105386796",293.439919861988,1.10207462254276,0.207804998190408,5.30340767613754,1.13660699797855e-07,2.83713827358814e-06,"Up"
"LOC105385220",73.2472921895208,-1.58673638840674,0.365098799188929,-4.34604658227224,1.38613144540691e-05,0.000178630483647239,"Down"
"LOC105384703",2228.97240838938,1.13560015277287,0.196459589933011,5.78032435657678,7.45567409627537e-09,2.78182520665479e-07,"Up"
"LOC105396550",261.319709625118,-1.31841524339792,0.19732891867386,-6.68130779947646,2.36819228198716e-11,1.73988889665789e-09,"Down"
"LOC105390386",925.029672482503,2.16119039552411,0.368135769951832,5.87063407559361,4.34131526152838e-09,1.71403785104056e-07,"Up"
"LOC105384441",115.686371325734,-1.57416722822503,0.303402638254052,-5.18837686212509,2.12134962967802e-07,4.81458539359885e-06,"Down"
"LOC119693642",49.724713213377,2.67827751987304,0.447563426720302,5.98412953332488,2.17550136400717e-09,9.04006441434233e-08,"Up"
"LOC105387574",14917.1259467276,2.45671406084886,0.243182031165815,10.1023667294469,5.39247887576157e-24,4.52111773036645e-21,"Up"
"LOC105392519",1571.05191464169,1.14478658956476,0.230555829260486,4.96533353000309,6.85831004182857e-07,1.34274028882119e-05,"Up"
"LOC105387770",1182.50320486382,1.6451650175065,0.178619502649095,9.21044450973804,3.24777167953048e-20,1.44657780463587e-17,"Up"
"LOC105397953",4657.15260204386,1.48889682014037,0.173083573154282,8.60218444192395,7.82129666546379e-18,1.95573581355887e-15,"Up"
"LOC105389511",442.481926291227,1.83817341181891,0.238893556176074,7.69452906659442,1.42016259811031e-14,2.15335930966662e-12,"Up"
"LOC105385647",378.593076781406,-1.21665804138988,0.148178331041551,-8.21076896222239,2.19776412186484e-16,4.6753331386477e-14,"Down"
"LOC105381226",3209.74090971772,1.79766404568308,0.317825413250199,5.65613689383587,1.5481800182388e-08,5.2289596682364e-07,"Up"
"LOC125489452",17.8913095676423,-2.15999526882755,0.592823700289532,-3.64357104443128,0.00026888139068462,0.00208848308524681,"Down"
"LOC105396641",1178.39725335766,1.62827866647602,0.255146959945988,6.38172865873343,1.75100020873056e-10,1.01865330510354e-08,"Up"
"LOC105395364",987.188221780999,1.09582635968641,0.166871912766137,6.56687120990909,5.13834512051644e-11,3.4874682382248e-09,"Up"
"LOC105380941",3068.43961274081,1.86608195555786,0.26756858061536,6.97421928713082,3.07574014978511e-12,2.77459014904349e-10,"Up"
"LOC119694367",147.668640521413,-1.46477124870149,0.223670401136719,-6.54879340877179,5.80038050682612e-11,3.86321604503704e-09,"Down"
"LOC119694321",133.994442636105,-1.47551759141653,0.26199254641466,-5.63190675310741,1.78228044920953e-08,5.88028778763505e-07,"Down"
"LOC119693967",166.011381115505,-1.7122829747196,0.338057971901903,-5.06505722993708,4.08277675707283e-07,8.47042461696638e-06,"Down"
"LOC125489422",21.4095985396318,-3.11714465000355,0.733337429131139,-4.25062805494158,2.13171916284313e-05,0.000253406115329467,"Down"
"LOC105380021",785.518729425642,1.79534313891825,0.195519318736311,9.18243348290079,4.2145742432601e-20,1.71629504826246e-17,"Up"
"LOC125489525",16.8082335915973,-3.62166380587277,0.699019732680414,-5.18106090079229,2.20627437555369e-07,4.98352276937666e-06,"Down"
"LOC105384146",3633.27815205974,2.41085189545459,0.252698064440395,9.5404446440596,1.42221212557254e-21,7.2395676520662e-19,"Up"
"LOC105388197",33.8200958752802,-1.46905602029832,0.444821337903193,-3.3025754277508,0.00095801318839103,0.00585279124480812,"Down"
"LOC105387650",3792.78668245263,1.17960207711483,0.133268591855655,8.8513134316934,8.64952699406553e-19,2.73959351658702e-16,"Up"
"LOC105398638",594.330269207513,1.6881867638838,0.255464471325595,6.60830351525541,3.88749049286756e-11,2.72947793078036e-09,"Up"
"LOC105393713",25939.9476077027,1.75974372980497,0.284764266319302,6.17965081275964,6.42435377105669e-10,3.05221047662903e-08,"Up"
"LOC105398645",8868.45502802737,1.98243380840792,0.255474140699012,7.75982180812394,8.50487960362951e-15,1.31760922815795e-12,"Up"
"LOC105393719",282.542008881393,-1.14178111725417,0.196716583168372,-5.8041935197548,6.46765439959965e-09,2.47805048810467e-07,"Down"
"LOC105386564",2059.70074779685,1.06798970069587,0.209744940714356,5.09184963917829,3.54587259449869e-07,7.4873069762059e-06,"Up"
"LOC105388392",11.3487139730652,3.87523713327646,1.02835439749678,3.76838679613719,0.000164305968327065,0.00140369969087303,"Up"
"LOC105386122",1245.58394053656,1.98401482173272,0.198013021593311,10.0196179310247,1.24985163978847e-23,9.89674190105839e-21,"Up"
"LOC105391222",1305.47553607164,1.89532985163271,0.247715713283909,7.65122981706235,1.99066204123517e-14,2.86595010845705e-12,"Up"
"LOC105386745",296.904244334958,-1.74222195753245,0.167289499263857,-10.4144131293294,2.13107870749067e-25,3.03742648178645e-22,"Down"
"LOC105386751",1175.2184674947,3.95887569659669,0.250319921175658,15.8152642346776,2.4418306855755e-56,3.48034127615077e-52,"Up"
"LOC105390452",170.393145713428,-1.44790524299136,0.240837273609469,-6.0119649308903,1.83287978697301e-09,7.82156754602584e-08,"Down"
"LOC105381431",122.835348213358,1.90853919167044,0.345599864481328,5.52239565989054,3.34408389713762e-08,9.76705487416036e-07,"Up"
"LOC105386990",7271.1518145945,1.57950091110471,0.243482919309821,6.48711176776582,8.74974320454888e-11,5.51814557055023e-09,"Up"
"LOC105386992",3504.31515690253,1.50212526068957,0.266017236891893,5.6467215366951,1.63536391759473e-08,5.4459911022144e-07,"Up"
"LOC105388339",2073.82156327061,1.21735217900778,0.192664632806743,6.31850361570447,2.64108118120993e-10,1.45341042763649e-08,"Up"
"LOC105389954",13104.5993220878,1.21238953101579,0.200567608146414,6.04479228834772,1.49602609786375e-09,6.52075228527586e-08,"Up"
"LOC105388548",1053.97864249777,1.71024420096457,0.211757713127208,8.07641986545812,6.66959566061665e-16,1.31418330701161e-13,"Up"
"LOC105397175",986.059964122624,1.48884449229061,0.18785584601412,7.92546265597025,2.27298452926873e-15,4.0496060619584e-13,"Up"
